date,home_team,away_team,home_score,away_score,H_rank,A_rank,Rank_diff,Rank_value,H_attack,H_defence,A_attack,A_defence
03/09/2010,China PR,Iran,0,2,84,63,21,0.105,1.417304165,0.946235458,2.12195723,0.372840826
07/09/2010,South Korea,Iran,0,1,42,63,-21,-0.105,1.46293475,0.540009651,1.905800878,0.526808344
07/09/2010,Qatar,Oman,1,1,106,91,15,0.075,1.440121013,0.932943731,1.1846371,0.864304837
21/09/2010,Iraq,Oman,3,2,102,91,11,0.055,1.185510073,0.892252372,1.164050781,0.87896841
28/09/2010,Oman,Iran,2,2,91,63,28,0.14,0.912132608,0.871794772,2.157983288,0.347179573
01/10/2010,Iran,Iraq,2,1,63,102,-39,-0.195,2.178587765,0.314635913,0.898825584,0.80570944
08/10/2010,China PR,Syria,2,1,84,100,-16,-0.08,1.552942216,0.755812006,1.138574954,1.132634063
12/10/2010,South Korea,Japan,0,0,42,31,11,0.055,1.345626165,0.704700205,1.780716612,0.46679041
12/10/2010,Qatar,Iraq,1,2,106,102,4,0.02,1.480445839,0.876331353,1.120128515,0.648076029
23/11/2010,Iraq,United Arab Emirates,0,0,102,96,6,0.03,1.203839539,0.866519473,1.649192906,0.888368136
26/11/2010,United Arab Emirates,Oman,0,0,96,91,5,0.025,1.536290349,0.915737513,1.133171302,0.900963769
28/11/2010,Qatar,Saudi Arabia,1,1,106,72,34,0.17,1.370469041,1.030728748,1.574277579,0.602385735
29/11/2010,Oman,Iraq,0,0,91,102,-11,-0.055,1.055102446,0.67107816,1.042929818,0.703064428
02/12/2010,United Arab Emirates,Saudi Arabia,0,1,96,72,24,0.12,1.466638377,1.01352253,1.522811781,0.639044667
18/12/2010,Iraq,Syria,0,1,102,100,2,0.01,1.218503112,0.845933154,1.23121339,1.066647984
22/12/2010,Syria,Iraq,0,1,100,102,-2,-0.01,1.52553001,0.805881617,1.089249037,0.670071389
28/12/2010,Saudi Arabia,Iraq,0,1,72,102,-30,-0.15,1.419262426,0.775126496,0.945144802,0.7727164
30/12/2010,Syria,South Korea,0,1,100,42,58,0.29,1.305576414,1.114676406,1.552888815,0.640664459
02/01/2011,Iraq,China PR,2,3,94,74,20,0.1,1.152517033,0.93857159,1.485414617,0.712896195
02/01/2011,United Arab Emirates,Syria,2,0,112,107,5,0.025,1.536290349,0.915737513,1.24665313,1.055650305
05/01/2011,United Arab Emirates,Australia,0,0,112,21,91,0.455,1.221023528,1.358343376,2.749989143,0.174074386
09/01/2011,Saudi Arabia,Syria,1,2,90,107,-17,-0.085,1.371605814,0.842032034,1.133428374,1.136299957
11/01/2011,Iraq,Iran,1,2,94,49,45,0.225,1.060869702,1.067236085,2.245475145,0.284859388
12/01/2011,Qatar,China PR,2,0,93,74,19,0.095,1.42545744,0.95353005,1.480268037,0.716562088
13/01/2011,Syria,Japan,1,2,107,17,90,0.45,1.188267829,1.27936696,2.187296417,0.177184841
14/01/2011,Australia,South Korea,1,1,21,31,-10,-0.05,1.858685886,0.627444729,1.202921388,0.889945201
15/01/2011,United Arab Emirates,Iraq,0,1,112,94,18,0.09,1.488633737,0.982643051,1.192180633,0.596753523
17/01/2011,Saudi Arabia,Japan,0,5,90,17,73,0.365,1.04167542,1.305224216,2.09980456,0.239505027
19/01/2011,United Arab Emirates,Iran,0,3,112,49,63,0.315,1.32366854,1.214239142,2.338113582,0.218873309
21/01/2011,Qatar,Japan,2,3,93,17,76,0.38,1.216501524,1.246885099,2.1152443,0.228507347
22/01/2011,Australia,Iraq,1,0,21,94,-73,-0.365,2.089637162,0.303210202,0.723841871,0.930349811
22/01/2011,Iran,South Korea,0,1,49,31,18,0.09,1.969631849,0.607990962,1.347025623,0.78730019
25/01/2011,Japan,South Korea,2,2,17,31,-14,-0.07,1.922532673,0.918707816,1.182335069,0.904608774
29/01/2011,Australia,Japan,0,1,21,17,4,0.02,1.80736338,0.699496847,1.744690554,0.492451663
29/06/2011,Iraq,Syria,1,2,94,107,-13,-0.065,1.273491511,0.768734457,1.154014693,1.121636384
09/07/2011,Lebanon,Oman,0,1,156,103,53,0.265,0.769701813,1.430749186,1.380207133,0.725000892
15/07/2011,Oman,Syria,1,1,103,107,-4,-0.02,1.029441193,0.707104218,1.200333911,1.088643344
17/07/2011,United Arab Emirates,Lebanon,6,2,112,156,-44,-0.22,1.71591912,0.663555103,0.444585317,1.167070022
23/07/2011,Qatar,Vietnam,3,0,93,132,-39,-0.195,1.63807925,0.655028422,1.496511039,1.15475638
28/07/2011,Vietnam,Qatar,2,1,132,93,39,0.195,1.026042794,0.864053565,1.631318355,0.650384532
10/08/2011,Japan,South Korea,3,0,17,31,-14,-0.07,1.922532673,0.918707816,1.182335069,0.904608774
17/08/2011,Lebanon,Syria,2,3,156,107,49,0.245,0.784365386,1.410162867,1.473102641,0.894351001
19/08/2011,Qatar,Iraq,0,1,93,94,-1,-0.005,1.498775305,0.850598454,1.094395616,0.666405495
25/08/2011,United Arab Emirates,Qatar,3,1,112,93,19,0.095,1.484967844,0.987789631,1.528386759,0.723702398
02/09/2011,South Korea,Lebanon,6,0,31,156,-125,-0.625,1.84418765,0.004765352,0.027712353,1.464007377
02/09/2011,Oman,Saudi Arabia,0,0,103,90,13,0.065,0.967121007,0.794596075,1.466199403,0.679369493
06/09/2011,Lebanon,United Arab Emirates,3,1,156,112,44,0.22,0.802694853,1.384429967,1.844762939,0.749064192
06/09/2011,Qatar,Iran,1,1,93,49,44,0.22,1.333810108,1.082194546,2.240328565,0.288525281
06/09/2011,Saudi Arabia,Australia,1,3,90,21,69,0.345,1.056338993,1.284637897,2.636764387,0.254724038
06/10/2011,China PR,United Arab Emirates,2,1,74,112,-38,-0.19,1.633591868,0.64258725,1.422743395,1.04966744
07/10/2011,Japan,Vietnam,1,0,17,132,-115,-0.575,2.292787894,0.398903256,1.105370974,1.433364269
11/10/2011,Australia,Oman,3,0,21,103,-82,-0.41,2.122630201,0.256890983,0.685418859,1.219896484
11/10/2011,China PR,Iraq,0,1,74,94,-20,-0.1,1.567605789,0.735225686,0.9966106,0.736057468
11/10/2011,South Korea,United Arab Emirates,2,1,31,112,-81,-0.405,1.682888346,0.231214863,1.201440463,1.207300851
04/11/2011,Qatar,Oman,0,0,93,103,-10,-0.05,1.531768345,0.804279236,1.055972605,0.955952168
06/11/2011,Iraq,Lebanon,1,0,94,156,-62,-0.31,1.453120282,0.516552046,0.35194688,1.233056101
11/11/2011,Iraq,China PR,1,0,94,74,20,0.1,1.152517033,0.93857159,1.485414617,0.712896195
11/11/2011,Oman,Australia,1,0,103,21,82,0.41,0.714174372,1.149710082,2.703669924,0.207067426
11/11/2011,United Arab Emirates,South Korea,0,2,112,31,81,0.405,1.257682461,1.306877578,1.671260151,0.556348914
15/11/2011,Lebanon,South Korea,2,1,156,31,125,0.625,0.505757498,1.801302932,1.897709662,0.39504961
15/11/2011,Saudi Arabia,Oman,0,0,90,103,-13,-0.065,1.356942241,0.862618353,1.040532866,0.966949848
