Date,Home,Away,Group,H_rank,A_rank,Rank_diff,Rank_value,Home_GF,Home_GA,Away_GF,Away_GA,H_attack,A_defence,H_defence,A_attack
06/10/2021,Ethiopia,South Africa,G,142,74,68,0.34,0.896111111,0.981414141,1.281666667,0.743333333,0.616573379,0.511453925,1.028634961,1.34333416
06/10/2021,Morocco,Guinea-Bissau,I,34,112,-78,-0.39,1.465329567,0.334419335,0.173352827,1.861734893,1.00822676,1.280975271,0.350509947,0.181693712
06/10/2021,Egypt,Libya,F,47,116,-69,-0.345,1.741784007,0.814930465,0.736395349,1.724844961,1.198442511,1.186787523,0.854140909,0.771827069
06/10/2021,Cameroon,Mozambique,D,53,113,-60,-0.3,1.715602837,0.471631206,0.348148148,1.49047619,1.180428437,1.02552901,0.494323779,0.364899324
06/10/2021,Algeria,Niger,A,32,112,-80,-0.4,1.848484848,0.423232323,0.236652237,2.183549784,1.271858517,1.502401489,0.44359618,0.248038778
06/10/2021,Ghana,Zimbabwe,G,50,109,-59,-0.295,1.415,0.311666667,0.723333333,1.278333333,0.97359727,0.87956314,0.326662533,0.758136574
06/10/2021,Malawi,Ivory Coast,D,118,54,64,0.32,0.769430894,1.024607046,1.505499058,0.591487759,0.529410472,0.406975878,1.073906095,1.577936265
06/10/2021,Mali,Kenya,E,56,103,-47,-0.235,1.809074074,0.339074074,0.367564103,1.271324786,1.244741752,0.874740877,0.35538865,0.385249479
06/10/2021,Liberia,Cape Verde,C,151,77,74,0.37,0.493636364,1.238686869,1.071940035,0.799312169,0.339648774,0.549970421,1.298286386,1.123516515
06/10/2021,Senegal,Namibia,H,21,114,-93,-0.465,1.880789474,0.466578947,0.37875,1.633154762,1.294085863,1.123699659,0.48902843,0.396973586
06/10/2021,DR Congo,Madagascar,J,61,98,-37,-0.185,1.381687371,0.647298137,1.148333333,2.029444444,0.950676361,1.396368601,0.678442938,1.203585483
06/10/2021,Sudan,Guinea,I,124,72,52,0.26,1.281414141,1.199393939,1.315384615,1.183076923,0.881682904,0.814021528,1.257102874,1.378674451
06/10/2021,Togo,Congo,H,131,93,38,0.19,1.864945055,0.770586081,1.036560847,1.443597884,1.283184038,0.993274175,0.807662891,1.086435054
06/10/2021,Tunisia,Mauritania,B,26,101,-75,-0.375,1.729005168,0.160917313,0.357954545,2.15625,1.189649972,1.483617747,0.168659862,0.375177557
06/10/2021,Angola,Gabon,F,126,87,39,0.195,1.294795918,0.746020408,1.123571429,1.122460317,0.890890297,0.772313993,0.781915239,1.177632157
06/10/2021,Tanzania,Benin,J,136,82,54,0.27,1.335015674,1.085569488,1.31,1.152222222,0.918563686,0.792791809,1.13780175,1.373030754
06/10/2021,Equatorial Guinea,Zambia,B,133,88,45,0.225,1.177083333,1.377083333,1.335955711,0.915792541,0.809897611,0.630115277,1.443341807,1.400235326
06/10/2021,Rwanda,Uganda,E,130,84,46,0.23,1.52,0.86,1.135432596,0.660006707,1.045843003,0.454120656,0.901378968,1.190064025
06/10/2021,Nigeria,Central African Republic,C,33,117,-84,-0.42,2.262490842,0.351062271,0.306190476,3.012857143,1.556717249,2.073010239,0.36795366,0.320922855
06/10/2021,Djibouti,Burkina Faso,A,183,59,124,0.62,1.00962963,0.971851852,1.258528139,0.349155844,0.694680319,0.240238287,1.018612581,1.31908232
10/10/2021,South Africa,Ethiopia,G,74,142,-68,-0.34,1.71962963,0.396383442,0.526666667,1.774920635,1.18319909,1.221242321,0.415455463,0.552007275
10/10/2021,Gabon,Angola,F,87,126,-39,-0.195,1.061459627,0.512039337,0.665708535,1.037995169,0.730342187,0.714197359,0.536676151,0.697739154
10/10/2021,Cape Verde,Liberia,C,77,151,-74,-0.37,1.211880342,0.655641026,0.100494418,2.014338118,0.833839853,1.385974623,0.687187246,0.105329715
10/10/2021,Central African Republic,Nigeria,C,117,33,84,0.42,1.096666667,0.895,1.544338624,0.984761905,0.754566553,0.677569966,0.938062996,1.6186446
10/10/2021,Libya,Egypt,F,116,47,69,0.345,1.02127907,0.850813953,1.260447154,0.559065041,0.70269577,0.384667277,0.891750934,1.321093669
10/10/2021,Guinea,Sudan,I,72,124,-52,-0.26,1.831428571,0.263809524,0.74617284,1.321728395,1.260122867,0.909421312,0.27650274,0.782075005
10/10/2021,Burkina Faso,Djibouti,A,59,183,-124,-0.62,2.644489796,0.613605442,0.149230769,2.927692308,1.819553389,2.014412182,0.643129117,0.15641102
10/10/2021,Ivory Coast,Malawi,D,54,118,-64,-0.32,1.358095238,0.522857143,0.24547619,1.50622449,0.934443686,1.0363647,0.548014456,0.257287297
10/10/2021,Madagascar,DR Congo,J,98,61,37,0.185,1.188333333,0.945,1.378473193,1.258822844,0.817638225,0.866138858,0.99046875,1.444798541
10/10/2021,Uganda,Rwanda,E,84,130,-46,-0.23,1.342903226,0.371553166,0.874273504,1.182136752,0.923990752,0.813374639,0.389430476,0.916339243
10/10/2021,Zambia,Equatorial Guinea,B,88,133,-45,-0.225,1.740151515,0.377020202,0.681832298,2.057298137,1.197319268,1.415533462,0.395160559,0.714638713
10/10/2021,Kenya,Mali,E,103,56,47,0.235,1.393205128,1.57474359,1.272641723,0.867040816,0.958601208,0.596571429,1.650512503,1.333874981
10/10/2021,Benin,Tanzania,J,82,136,-54,-0.27,2.009057239,0.660976431,0.438333333,1.7075,1.38234109,1.174853242,0.692779364,0.459423776
10/10/2021,Zimbabwe,Ghana,G,109,50,59,0.295,0.916640212,1.197116402,1.168563218,0.449252874,0.630698521,0.30911051,1.254715753,1.22478873
10/10/2021,Congo,Togo,H,93,131,-38,-0.19,1.748441558,0.834531025,0.506296296,1.397407407,1.20302327,0.961492605,0.874684551,0.530656783
10/10/2021,Mozambique,Cameroon,D,113,53,60,0.3,1.522822823,0.848048048,1.050733138,0.650146628,1.04778526,0.447336383,0.888851947,1.101289246
10/10/2021,Mauritania,Tunisia,B,101,26,75,0.375,1.291666667,1.208333333,1.850933423,0.775697256,0.888737201,0.533722071,1.266472388,1.939991232
10/10/2021,Niger,Algeria,A,112,32,80,0.4,1.41372549,1.42745098,1.725498575,0.654843305,0.972720337,0.450567953,1.496132898,1.808521076
10/10/2021,Guinea-Bissau,Morocco,I,112,34,78,0.39,0.832222222,1.056666667,1.418368794,0.290780142,0.572614334,0.200072616,1.107508267,1.486613721
10/10/2021,Namibia,Senegal,H,114,21,93,0.465,1.120470085,1.242777778,1.640510204,0.328197279,0.770944605,0.22581765,1.302574129,1.719443483
11/11/2021,Gabon,Libya,F,87,116,-29,-0.145,1.011459627,0.562039337,0.936395349,1.524844961,0.695939457,1.049176601,0.589081905,0.981450085
11/11/2021,Rwanda,Mali,E,130,56,74,0.37,1.38,1,1.407641723,0.732040816,0.949515358,0.503684057,1.048115079,1.475370517
11/11/2021,Malawi,Cameroon,D,118,53,65,0.325,0.764430894,1.029607046,1.075733138,0.625146628,0.525970199,0.430135017,1.079146671,1.127492123
11/11/2021,Togo,Senegal,H,131,21,110,0.55,1.504945055,1.130586081,1.725510204,0.243197279,1.035484379,0.167333008,1.18498432,1.808533264
11/11/2021,Sudan,Morocco,I,124,34,90,0.45,1.091414141,1.389393939,1.478368794,0.290780142,0.750952529,0.200072616,1.456244739,1.549500626
11/11/2021,Congo,Namibia,H,93,114,-21,-0.105,1.663441558,0.919531025,0.73875,1.273154762,1.144538629,0.876,0.963774333,0.774295015
11/11/2021,South Africa,Zimbabwe,G,74,109,-35,-0.175,1.55462963,0.561383442,0.843333333,1.158333333,1.06967008,0.796996587,0.588394451,0.883910384
11/11/2021,Tanzania,DR Congo,J,136,61,75,0.375,1.230015674,1.190569488,1.568473193,1.068822844,0.846317952,0.735408482,1.247853833,1.643940406
11/11/2021,Liberia,Nigeria,C,151,33,118,0.59,0.273636364,1.458686869,1.714338624,0.814761905,0.188276761,0.560600683,1.528871703,1.796824163
11/11/2021,Equatorial Guinea,Tunisia,B,133,26,107,0.535,0.867083333,1.687083333,2.010933423,0.615697256,0.596600683,0.423633334,1.768257482,2.107689645
11/11/2021,Burkina Faso,Niger,A,59,112,-53,-0.265,2.289489796,0.348605442,0.236652237,2.048549784,1.575294003,1.409514117,0.365378621,0.248038778
11/11/2021,Zambia,Mauritania,B,88,101,-13,-0.065,1.580151515,0.537020202,0.667954545,1.84625,1.087230531,1.270320819,0.562858972,0.700093231
11/11/2021,Ivory Coast,Mozambique,D,54,113,-59,-0.295,1.333095238,0.547857143,0.353148148,1.48547619,0.917242321,1.022088737,0.574217333,0.370139899
11/11/2021,Djibouti,Algeria,A,183,32,151,0.755,0.87462963,1.106851852,2.080498575,0.299843305,0.601792947,0.206308567,1.160108117,2.18060193
