Home,Away,H_rank,A_rank,Rank_diff,Rank_value,Home_GF,Home_GA,Away_GF,Away_GA,H_attack,A_defence,H_defence,A_attack
Tanzania,Nigeria,136,33,103,0.2575,1.342853669,1.091717507,0.969038462,0.668425926,0.923956654,0.459913538,1.144245581,1.015663824
Senegal,Morocco,21,34,-13,-0.0325,1.424047049,0.84150319,0.643771186,0.997884615,0.979822134,0.686599107,0.881992183,0.674746288
Burkina Faso,Tunisia,59,26,33,0.0825,2.189608844,0.619914966,0.621031692,1.059795597,1.506570453,0.729197244,0.649742224,0.650912681
Ghana,Mali,50,56,-6,-0.015,1.146111111,0.536111111,0.575740741,0.960436508,0.788587031,0.660832765,0.56190614,0.603442552
Egypt,Ivory Coast,47,54,-7,-0.0175,1.349326742,1.026191149,0.765833333,1.152002924,0.928410482,0.79264092,1.075566417,0.802681465
Nigeria,Tanzania,33,136,-103,-0.2575,2.094038462,0.454038462,0.576717507,1.192033552,1.440812812,0.820184177,0.475884558,0.604466315
Morocco,Senegal,34,21,13,0.0325,1.053940678,0.708771186,0.90650319,1.375445736,0.72516874,0.946381776,0.742873768,0.950119663
Tunisia,Burkina Faso,26,59,-33,-0.0825,1.449577063,0.456031692,0.454914966,0.830668498,0.997388177,0.571545287,0.477973693,0.476803236
Mali,Ghana,56,50,6,0.015,1.475740741,0.605740741,0.566111111,0.881428571,1.015390216,0.60647099,0.634886005,0.593349592
Ivory Coast,Egypt,54,47,7,0.0175,1.0325,0.800833333,1.061191149,0.91688914,0.710416382,0.630869798,0.839365493,1.112250445
