Group,Team,GF,GA,Points,CurrentGF,CurrentGA,CurrentPoints,FinalGF,FinalGA,FinalGD,FInalPoints
A,Burkina Faso,9,0,12,3,1,4,12,1,11,16
A,Algeria,5,1,9,9,1,4,14,2,12,13
A,Niger,3,7,3,4,4,3,7,11,-4,6
A,Djibouti,1,10,0,2,12,0,3,22,-19,0
B,Tunisia,6,1,10,5,0,6,11,1,10,16
B,Zambia,5,1,10,2,3,3,7,4,3,13
B,Equatorial Guinea,0,6,0,1,3,3,1,9,-8,3
B,Mauritania,2,5,3,1,3,0,3,8,-5,3
C,Nigeria,6,2,6,4,1,6,10,3,7,12
C,Liberia,4,4,7,1,2,3,5,6,-1,10
C,Cape Verde,5,1,7,2,3,1,7,4,3,8
C,Central African Republic,2,10,1,1,2,1,3,12,-9,2
D,Ivory Coast,4,1,10,2,1,4,6,2,4,14
D,Cameroon,3,3,5,3,2,3,6,5,1,8
D,Mozambique,3,3,6,0,1,1,3,4,-1,7
D,Malawi,0,3,1,1,2,3,1,5,-4,4
E,Mali,4,2,8,1,0,4,5,2,3,12
E,Uganda,4,4,7,0,0,2,4,4,0,9
E,Kenya,2,3,4,1,1,2,3,4,-1,6
E,Rwanda,3,4,3,1,2,1,4,6,-2,4
F,Egypt,3,0,10,2,1,4,5,1,4,14
F,Libya,2,4,2,3,1,6,5,5,0,8
F,Gabon,2,2,5,2,3,1,4,5,-1,6
F,Angola,2,3,4,0,2,0,2,5,-3,4
G,Ghana,4,0,12,1,1,3,5,1,4,15
G,South Africa,3,1,9,1,0,4,4,1,3,13
G,Zimbabwe,2,4,3,0,1,1,2,5,-3,4
G,Ethiopia,1,5,0,1,1,3,2,6,-4,3
H,Senegal,5,0,10,5,1,6,10,1,9,16
H,Congo,4,4,7,2,4,1,6,8,-2,8
H,Namibia,1,2,4,2,1,4,3,3,0,8
H,Togo,2,6,1,0,3,0,2,9,-7,1
I,Morocco,5,0,12,2,0,3,7,0,7,15
I,Guinea,3,2,7,1,1,1,4,3,1,8
I,Guinea-Bissau,1,5,1,5,3,4,6,8,-2,5
I,Sudan,2,4,2,2,6,0,4,10,-6,2
J,Tanzania,4,3,7,4,3,4,8,6,2,11
J,Benin,3,5,2,2,1,4,5,6,-1,6
J,DR Congo,4,4,4,2,2,2,6,6,0,6
J,Madagascar,4,3,6,2,4,0,6,7,-1,6
