date,home_team,away_team,home_score,away_score,H_Rank,A_Rank,RankDiff,RankValue,H_attack,H_defence,A_attack,A_defence
09/03/2010,Panama,Costa Rica,2,2,75,59,16,0.08,1.704020369,1.524614396,0.853189808,2.511484368
09/04/2010,El Salvador,Honduras,2,2,106,52,54,0.27,1.384374708,0.833338264,0.888739384,3.040863016
09/05/2010,Jamaica,Costa Rica,1,0,77,59,18,0.09,1.77726754,1.097131396,0.853189808,2.511484368
09/07/2010,Canada,Honduras,2,1,90,52,38,0.19,2.675231735,0.770887198,0.888739384,3.040863016
10/08/2010,Panama,El Salvador,1,0,75,106,-31,-0.155,1.704020369,1.524614396,1.172121163,2.395941359
10/12/2010,Costa Rica,El Salvador,2,1,59,106,-47,-0.235,1.089037704,1.30970861,1.172121163,2.395941359
11/17/2010,Jamaica,Costa Rica,0,0,77,59,18,0.09,1.77726754,1.097131396,0.853189808,2.511484368
11/17/2010,Panama,Honduras,2,0,75,52,23,0.115,1.704020369,1.524614396,0.888739384,3.040863016
12/18/2010,Honduras,Panama,2,1,52,75,-23,-0.115,1.442923776,1.223455233,0.887015101,2.801009915
1/14/2011,Costa Rica,Honduras,1,1,58,48,10,0.05,1.089037704,1.30970861,0.888739384,3.040863016
1/18/2011,Panama,El Salvador,2,0,60,84,-24,-0.12,1.704020369,1.524614396,1.172121163,2.395941359
1/21/2011,Honduras,El Salvador,2,0,48,84,-36,-0.18,1.442923776,1.223455233,1.172121163,2.395941359
1/21/2011,Panama,Costa Rica,1,1,60,58,2,0.01,1.704020369,1.524614396,0.853189808,2.511484368
1/23/2011,Honduras,Costa Rica,2,1,48,58,-10,-0.05,1.442923776,1.223455233,0.853189808,2.511484368
1/23/2011,Panama,El Salvador,0,0,60,84,-24,-0.12,1.704020369,1.524614396,1.172121163,2.395941359
3/29/2011,El Salvador,Jamaica,2,3,84,51,33,0.165,1.384374708,0.833338264,1.316085571,2.082587213
5/29/2011,El Salvador,Honduras,2,2,84,48,36,0.18,1.384374708,0.833338264,0.888739384,3.040863016
06/05/2011,Mexico,El Salvador,5,0,22,84,-62,-0.31,1.74650997,1.382989699,1.172121163,2.395941359
06/07/2011,United States,Canada,2,0,26,84,-58,-0.29,1.921150062,1.278586803,2.174797551,1.907008271
06/09/2011,Costa Rica,El Salvador,1,1,58,84,-26,-0.13,1.089037704,1.30970861,1.172121163,2.395941359
06/11/2011,United States,Panama,1,2,26,60,-34,-0.17,1.921150062,1.278586803,0.887015101,2.801009915
06/12/2011,Mexico,Costa Rica,4,1,22,58,-36,-0.18,1.74650997,1.382989699,0.853189808,2.511484368
6/13/2011,Honduras,Jamaica,0,1,48,51,-3,-0.015,1.442923776,1.223455233,1.316085571,2.082587213
6/14/2011,Canada,Panama,1,1,84,60,24,0.12,2.675231735,0.770887198,0.887015101,2.801009915
6/18/2011,Costa Rica,Honduras,1,1,58,48,10,0.05,1.089037704,1.30970861,0.888739384,3.040863016
6/19/2011,Panama,El Salvador,1,1,60,84,-24,-0.12,1.704020369,1.524614396,1.172121163,2.395941359
6/19/2011,United States,Jamaica,2,0,26,51,-25,-0.125,1.921150062,1.278586803,1.316085571,2.082587213
6/22/2011,Honduras,Mexico,0,2,48,22,26,0.13,1.442923776,1.223455233,1.4277284,1.787599909
6/22/2011,United States,Panama,1,0,26,60,-34,-0.17,1.921150062,1.278586803,0.887015101,2.801009915
6/25/2011,United States,Mexico,2,4,26,22,4,0.02,1.921150062,1.278586803,1.4277284,1.787599909
08/10/2011,United States,Mexico,1,1,26,22,4,0.02,1.921150062,1.278586803,1.4277284,1.787599909
09/02/2011,United States,Costa Rica,0,1,26,58,-32,-0.16,1.921150062,1.278586803,0.853189808,2.511484368
