Date,Home,Away,H_rank,A_rank,Rank_diff,Rank_value,Home_GF,Home_GA,Away_GF,Away_GA,H_attack,A_defence,H_defence,A_attack
07/10/2021,United States,Jamaica,21,46,-25,-0.125,2.312391412,0.677432365,1.373474447,1.432017544,1.60892294,0.996373653,0.855119543,1.73373004
07/10/2021,Honduras,Costa Rica,66,50,16,0.08,1.562890443,0.847832168,1.051428571,1.496190476,1.087432808,1.041024096,1.070214376,1.327213115
07/10/2021,Mexico,Canada,10,71,-61,-0.305,2.293548935,0.562954911,2.171190476,1.501825397,1.595812663,1.044944779,0.710615216,2.74068306
07/10/2021,El Salvador,Panama,69,78,-9,-0.045,1.62122739,0.477997416,0.96494152,1.802894737,1.128022672,1.254423748,0.603373787,1.218040935
10/10/2021,Costa Rica,El Salvador,50,69,-19,-0.095,1.334961297,0.726964199,1.239558824,1.598676471,0.928843553,1.112332123,0.917643334,1.564689007
10/10/2021,Jamaica,Canada,46,71,-25,-0.125,2.148569024,0.563552189,2.351190476,1.321825397,1.494938086,0.919703815,0.711369156,2.967896175
10/10/2021,Panama,United States,78,21,57,0.285,1.65517094,1.241837607,1.411984127,1.032460317,1.151640022,0.718368474,1.567565504,1.782340619
10/10/2021,Mexico,Honduras,10,66,-56,-0.28,2.268548935,0.587954911,0.731904762,2.188424908,1.578418084,1.522669138,0.742172593,0.923879782
13/10/2021,United States,Costa Rica,21,50,-29,-0.145,2.332391412,0.657432365,0.826428571,1.721190476,1.622838603,1.197575301,0.829873642,1.043196721
13/10/2021,Canada,Panama,71,78,-7,-0.035,3.080977011,0.448803553,0.97494152,1.792894737,2.143691836,1.247465916,0.566522517,1.230663886
13/10/2021,Honduras,Jamaica,66,46,20,0.1,1.542890443,0.867832168,1.598474447,1.207017544,1.073517146,0.839822448,1.095460277,2.017746433
13/10/2021,El Salvador,Mexico,69,10,59,0.295,1.28122739,0.817997416,1.920589226,0.826885522,0.891456407,0.575332999,1.032554115,2.424350334
01/11/2021,Canada,Costa Rica,71,50,21,0.105,2.940977011,0.588803553,1.076428571,1.471190476,2.046282197,1.023629518,0.743243829,1.358770492
01/11/2021,United States,Mexico,21,10,11,0.055,2.132391412,0.857432365,1.680589226,1.066885522,1.483681976,0.742320951,1.082332658,2.121399515
01/11/2021,El Salvador,Jamaica,69,46,23,0.115,1.46122739,0.637997416,1.613474447,1.192017544,1.016697371,0.829385701,0.805341001,2.036680859
01/11/2021,Honduras,Panama,66,78,-12,-0.06,1.702890443,0.707832168,0.94994152,1.817894737,1.184842447,1.264860495,0.893493064,1.199106509
08/11/2021,Costa Rica,Honduras,50,66,-16,-0.08,1.319961297,0.741964199,0.931904762,1.988424908,0.918406806,1.383512511,0.93657776,1.176338798
08/11/2021,Panama,El Salvador,78,69,9,0.045,1.89517094,1.001837607,1.379558824,1.458676471,1.318627973,1.014922484,1.264614684,1.741410319
08/11/2021,Jamaica,United States,46,21,25,0.125,1.898569024,0.813552189,1.251984127,1.192460317,1.320992303,0.829693775,1.026942927,1.580373406
08/11/2021,Canada,Mexico,71,10,61,0.305,2.740977011,0.788803553,1.930589226,0.816885522,1.907125571,0.568375167,0.995702845,2.436973285
27/01/2022,United States,El Salvador,21,69,-48,-0.24,2.427391412,0.562432365,1.094558824,1.743676471,1.688938001,1.213220677,0.709955609,1.38165622
27/01/2022,Costa Rica,Panama,50,78,-28,-0.14,1.379961297,0.681964199,0.86994152,1.897894737,0.960153794,1.320523145,0.860840055,1.098122902
27/01/2022,Honduras,Canada,66,71,-5,-0.025,1.667890443,0.742832168,2.451190476,1.221825397,1.160490037,0.850125502,0.937673392,3.094125683
27/01/2022,Jamaica,Mexico,46,10,36,0.18,1.843569024,0.868552189,1.805589226,0.941885522,1.282724231,0.655348059,1.096369156,2.2791864
30/01/2022,Honduras,El Salvador,66,69,-3,-0.015,1.657890443,0.752832168,1.319558824,1.518676471,1.153532206,1.056669472,0.950296343,1.665672614
30/01/2022,Canada,United States,71,21,50,0.25,2.795977011,0.733803553,1.376984127,1.067460317,1.945393643,0.742720883,0.926276616,1.738160291
30/01/2022,Mexico,Costa Rica,10,50,-40,-0.2,2.188548935,0.667954911,0.771428571,1.776190476,1.522755434,1.235843373,0.8431562,0.973770492
30/01/2022,Panama,Jamaica,78,46,32,0.16,1.78017094,1.116837607,1.658474447,1.147017544,1.238612913,0.79807546,1.409778618,2.093484138
02/02/2022,Jamaica,Costa Rica,46,50,-4,-0.02,2.043569024,0.668552189,0.951428571,1.596190476,1.421880857,1.11060241,0.84391014,1.200983607
02/02/2022,Mexico,Panama,10,78,-68,-0.34,2.328548935,0.527954911,0.66994152,2.097894737,1.620165072,1.459679772,0.666434888,0.845663886
02/02/2022,United States,Honduras,21,66,-45,-0.225,2.412391412,0.577432365,0.786904762,2.133424908,1.678501254,1.484401066,0.728890035,0.993306011
02/02/2022,El Salvador,Canada,69,71,-2,-0.01,1.58622739,0.512997416,2.466190476,1.206825397,1.103670262,0.839688755,0.647554115,3.113060109
24/03/2022,Jamaica,El Salvador,46,69,-23,-0.115,2.138569024,0.573552189,1.219558824,1.618676471,1.487980255,1.126247786,0.723992107,1.539443106
24/03/2022,Mexico,United States,10,21,-11,-0.055,2.043548935,0.812954911,1.071984127,1.372460317,1.421866879,0.954934739,1.026188987,1.353160291
24/03/2022,Costa Rica,Canada,50,71,-21,-0.105,1.344961297,0.716964199,2.371190476,1.301825397,0.935801384,0.905788153,0.905020383,2.993142076
24/03/2022,Panama,Honduras,78,66,12,0.06,1.88017094,1.016837607,1.071904762,1.848424908,1.308191226,1.286102873,1.28354911,1.353060109
27/03/2022,Honduras,Mexico,66,10,56,0.28,1.362890443,1.047832168,1.905589226,0.841885522,0.948276182,0.585769746,1.322673392,2.405415908
27/03/2022,El Salvador,Costa Rica,69,50,19,0.095,1.48122739,0.617997416,1.066428571,1.481190476,1.030613033,1.030587349,0.780095099,1.346147541
27/03/2022,United States,Panama,21,78,-57,-0.285,2.472391412,0.517432365,0.72494152,2.042894737,1.720248241,1.4214117,0.65315233,0.915090115
27/03/2022,Canada,Jamaica,71,46,25,0.125,2.920977011,0.608803553,1.623474447,1.182017544,2.032366535,0.822427869,0.768489731,2.04930381
30/03/2022,Costa Rica,United States,50,21,29,0.145,1.094961297,0.966964199,1.271984127,1.172460317,0.761855601,0.815778112,1.220594153,1.605619308
30/03/2022,Jamaica,Honduras,46,66,-20,-0.1,2.123569024,0.588552189,0.911904762,2.008424908,1.477543508,1.397428174,0.742926533,1.151092896
30/03/2022,Mexico,El Salvador,10,69,-59,-0.295,2.283548935,0.572954911,1.039558824,1.798676471,1.588854831,1.251488749,0.723238167,1.312229991
30/03/2022,Panama,Canada,78,71,7,0.035,1.90517094,0.991837607,2.511190476,1.161825397,1.325585805,0.808378514,1.251991733,3.169863388
