date,tournament,home_team,away_team,home_score,away_score,H_xG,A_xG,H_attack,H_defence,A_attack,A_defence
11/08/2010,Friendly,Bolivia,Colombia,1,1,1.179371194,2.919988603,0.880028802,1.995878136,1.710599107,0.684783163
03/09/2010,Friendly,Venezuela,Colombia,0,2,0.873539605,1.72665039,0.730122655,1.087595532,1.612715509,0.750854592
07/09/2010,Friendly,Venezuela,Ecuador,1,0,1.098437649,1.128792332,0.730122655,1.087595532,0.98165384,1.017140788
08/10/2010,Friendly,Colombia,Ecuador,1,0,1.21175258,0.61116042,0.805442177,0.588855295,0.922923681,1.056783645
17/11/2010,Friendly,Argentina,Brazil,1,0,0.558322891,1.668289731,1.218159034,0.686382061,2.388903586,0.296220238
17/11/2010,Friendly,Chile,Uruguay,2,0,1.481413376,1.813931262,1.180986888,1.250734862,1.448963458,0.808969298
17/11/2010,Friendly,Colombia,Peru,1,1,0.997404563,0.616923869,0.805442177,0.588855295,0.991234244,0.84130843
17/11/2010,Friendly,Ecuador,Venezuela,4,1,2.104105303,1.38195767,1.406581357,1.229819563,1.134184751,0.965237618
16/03/2011,Friendly,Argentina,Venezuela,4,1,1.822244316,0.771292783,1.218159034,0.686382061,0.879687397,1.137023332
26/03/2011,Friendly,Colombia,Ecuador,2,0,1.21175258,0.61116042,0.805442177,0.588855295,0.942500401,1.04356936
29/03/2011,Friendly,Colombia,Chile,0,2,0.943797187,0.58923132,0.805442177,0.588855295,1.111603891,0.685012201
29/03/2011,Friendly,Ecuador,Peru,0,0,1.741814253,1.288440555,1.406581357,1.229819563,1.084223662,0.778540573
20/04/2011,Friendly,Argentina,Ecuador,2,2,1.832667067,0.712381381,1.218159034,0.686382061,0.776098284,1.155890788
25/05/2011,Friendly,Argentina,Paraguay,4,2,1.362774705,0.661667412,1.218159034,0.686382061,0.860389846,0.795312739
04/06/2011,Copa Paz del Chaco,Bolivia,Paraguay,0,2,1.102767133,1.773037748,0.985743088,1.83926438,1.295971857,0.501294882
07/06/2011,Copa Paz del Chaco,Paraguay,Bolivia,0,0,2.179759457,1.093632761,1.059895833,1.488646384,0.366720041,1.596668233
23/06/2011,Friendly,Paraguay,Chile,0,0,1.241959677,1.489596989,1.059895833,1.488646384,1.028402833,0.741172916
01/07/2011,Copa América,Argentina,Bolivia,1,1,2.505240224,0.504249979,1.218159034,0.686382061,0.283518983,1.652828947
03/07/2011,Copa América,Brazil,Venezuela,0,0,2.046936788,0.546495137,1.368364559,0.486332126,0.865004857,1.146934046
03/07/2011,Copa América,Paraguay,Ecuador,0,0,1.594566993,1.545034505,1.059895833,1.488646384,0.859299343,1.099730074
04/07/2011,Copa América,Uruguay,Peru,1,1,1.272931353,0.656376477,1.027940555,0.626512903,0.839514667,0.943719145
06/07/2011,Copa América,Argentina,Colombia,0,0,1.457440273,1.089689887,1.218159034,0.686382061,1.387583234,0.902818878
08/07/2011,Copa América,Uruguay,Chile,1,1,1.204515274,0.626912975,1.027940555,0.626512903,0.940307595,0.800637201
09/07/2011,Copa América,Brazil,Paraguay,2,2,1.530812116,0.468820702,1.368364559,0.486332126,0.845707306,0.805223453
09/07/2011,Copa América,Venezuela,Ecuador,1,0,1.098437649,1.128792332,0.730122655,1.087595532,0.99633638,1.007230074
10/07/2011,Copa América,Colombia,Bolivia,2,0,1.656455424,0.432602026,0.805442177,0.588855295,0.449921099,1.540507519
12/07/2011,Copa América,Chile,Peru,1,0,1.462453474,1.31035281,1.180986888,1.250734862,0.878668106,0.917290573
13/07/2011,Copa América,Brazil,Ecuador,4,2,2.05864472,0.504753797,1.368364559,0.486332126,0.761415745,1.165801502
13/07/2011,Copa América,Paraguay,Venezuela,3,3,1.585498366,1.672803353,1.059895833,1.488646384,0.962888455,1.080862618
16/07/2011,Copa América,Argentina,Uruguay,1,1,1.528041595,0.995454684,1.218159034,0.686382061,1.424492559,0.825487155
16/07/2011,Copa América,Colombia,Peru,0,2,0.997404563,0.616923869,0.805442177,0.588855295,1.010810963,0.828094145
17/07/2011,Copa América,Brazil,Paraguay,0,0,1.530812116,0.468820702,1.368364559,0.486332126,0.845707306,0.805223453
17/07/2011,Copa América,Chile,Venezuela,1,2,1.766638496,1.405460351,1.180986888,1.250734862,0.913946656,1.113898332
19/07/2011,Copa América,Peru,Uruguay,0,2,0.935045948,2.407250584,0.745421245,1.659838104,1.605577215,0.703255013
20/07/2011,Copa América,Paraguay,Venezuela,0,0,1.585498366,1.672803353,1.059895833,1.488646384,0.962888455,1.080862618
23/07/2011,Copa América,Peru,Venezuela,4,1,1.115075774,1.8651728,0.745421245,1.659838104,1.060772053,1.014791189
24/07/2011,Copa América,Uruguay,Paraguay,3,0,1.14997414,0.603953971,1.027940555,0.626512903,0.855495666,0.79861631
02/09/2011,Friendly,Argentina,Venezuela,1,0,1.822244316,0.771292783,1.218159034,0.686382061,0.879687397,1.137023332
02/09/2011,Friendly,Peru,Bolivia,2,2,1.53301764,1.219398607,0.745421245,1.659838104,0.464603639,1.530596805
05/09/2011,Friendly,Bolivia,Peru,0,0,1.220676892,1.926935373,0.985743088,1.83926438,1.279990858,0.646397716
14/09/2011,Friendly,Argentina,Brazil,0,0,0.558322891,1.668289731,1.218159034,0.686382061,2.393797766,0.292916667
28/09/2011,Friendly,Brazil,Argentina,2,0,1.243103914,0.869809919,1.368364559,0.486332126,1.735975496,0.610142947
07/10/2011,FIFA World Cup qualification,Argentina,Chile,4,1,1.427408574,0.686820363,1.218159034,0.686382061,0.945201774,0.79733363
07/10/2011,FIFA World Cup qualification,Ecuador,Venezuela,2,0,2.104105303,1.38195767,1.406581357,1.229819563,1.119502212,0.975148332
07/10/2011,FIFA World Cup qualification,Peru,Paraguay,2,0,0.833915105,1.600072098,0.745421245,1.659838104,1.041474502,0.673080596
07/10/2011,FIFA World Cup qualification,Uruguay,Bolivia,4,2,2.114040905,0.460267155,1.027940555,0.626512903,0.278624803,1.656132519
11/10/2011,FIFA World Cup qualification,Bolivia,Colombia,1,2,1.179371194,2.919988603,0.985743088,1.83926438,1.823165245,0.60880102
11/10/2011,FIFA World Cup qualification,Chile,Peru,4,2,1.462453474,1.31035281,1.180986888,1.250734862,0.878668106,0.917290573
11/10/2011,FIFA World Cup qualification,Paraguay,Uruguay,1,1,1.329518458,2.158972534,1.059895833,1.488646384,1.507693617,0.769326441
11/10/2011,FIFA World Cup qualification,Venezuela,Argentina,1,0,0.663286932,1.945175595,0.730122655,1.087595532,1.970896131,0.451571519
11/11/2011,FIFA World Cup qualification,Argentina,Bolivia,1,1,2.505240224,0.504249979,1.218159034,0.686382061,0.283518983,1.652828947
11/11/2011,FIFA World Cup qualification,Colombia,Venezuela,1,1,1.204861096,0.661701209,0.805442177,0.588855295,1.046089513,1.024701903
11/11/2011,FIFA World Cup qualification,Paraguay,Ecuador,2,1,1.594566993,1.545034505,1.059895833,1.488646384,0.859299343,1.099730074
11/11/2011,FIFA World Cup qualification,Uruguay,Chile,4,0,1.204515274,0.626912975,1.027940555,0.626512903,0.940307595,0.800637201
15/11/2011,FIFA World Cup qualification,Chile,Paraguay,2,0,1.321189609,1.205699489,1.180986888,1.250734862,0.894649105,0.772187739
15/11/2011,FIFA World Cup qualification,Colombia,Argentina,1,2,0.731711675,1.053173644,0.805442177,0.588855295,1.917060152,0.487910804
15/11/2011,FIFA World Cup qualification,Ecuador,Peru,2,0,1.741814253,1.288440555,1.406581357,1.229819563,1.084223662,0.778540573
15/11/2011,FIFA World Cup qualification,Venezuela,Bolivia,1,0,1.501554882,0.799001104,0.730122655,1.087595532,0.503757078,1.504168233
21/12/2011,Friendly,Chile,Paraguay,3,2,1.321189609,1.205699489,1.180986888,1.250734862,0.894649105,0.772187739
15/02/2012,Friendly,Paraguay,Chile,2,0,1.241959677,1.489596989,1.059895833,1.488646384,1.047979552,0.72795863
21/03/2012,Copa del Pacífico,Chile,Peru,3,1,1.462453474,1.31035281,1.180986888,1.250734862,0.908033186,0.897469145
11/04/2012,Copa del Pacífico,Peru,Chile,0,3,0.873466146,1.660898026,0.745421245,1.659838104,1.096921351,0.694922916
02/06/2012,FIFA World Cup qualification,Argentina,Ecuador,4,0,1.832667067,0.712381381,1.218159034,0.686382061,0.908241142,1.06669436
02/06/2012,FIFA World Cup qualification,Bolivia,Chile,0,2,1.155069327,1.840438878,0.985743088,1.83926438,1.326947806,0.539655058
02/06/2012,FIFA World Cup qualification,Uruguay,Venezuela,1,1,1.53769646,0.704017351,1.027940555,0.626512903,0.904158296,1.120505475
03/06/2012,FIFA World Cup qualification,Peru,Colombia,0,1,0.891843276,2.635134133,0.745421245,1.659838104,1.642080589,0.731033163
09/06/2012,FIFA World Cup qualification,Bolivia,Paraguay,3,1,1.102767133,1.773037748,0.985743088,1.83926438,1.222559158,0.550848453
09/06/2012,Friendly,Brazil,Argentina,3,4,1.243103914,0.869809919,1.368364559,0.486332126,1.765340575,0.590321519
09/06/2012,FIFA World Cup qualification,Venezuela,Chile,0,2,0.855539637,1.088290037,0.730122655,1.087595532,1.13118061,0.671797916
10/06/2012,FIFA World Cup qualification,Ecuador,Colombia,1,0,1.682874124,1.952443133,1.406581357,1.229819563,1.59313879,0.764068878
10/06/2012,FIFA World Cup qualification,Uruguay,Peru,4,2,1.272931353,0.656376477,1.027940555,0.626512903,0.863985567,0.927201287
15/08/2012,Friendly,Ecuador,Chile,3,0,1.648197184,1.230604889,1.406581357,1.229819563,1.047979552,0.72795863
07/09/2012,FIFA World Cup qualification,Argentina,Paraguay,3,1,1.362774705,0.661667412,1.218159034,0.686382061,0.835918947,0.811830596
07/09/2012,FIFA World Cup qualification,Colombia,Uruguay,4,0,1.010335362,0.854012358,0.805442177,0.588855295,1.493011077,0.779237155
07/09/2012,FIFA World Cup qualification,Ecuador,Bolivia,1,0,2.892745607,0.903485863,1.406581357,1.229819563,0.440132739,1.547114662
07/09/2012,FIFA World Cup qualification,Peru,Venezuela,2,1,1.115075774,1.8651728,0.745421245,1.659838104,1.065666233,1.011487618
11/09/2012,FIFA World Cup qualification,Chile,Colombia,1,3,1.412966455,1.985647948,1.180986888,1.250734862,1.524620271,0.810318878
11/09/2012,FIFA World Cup qualification,Paraguay,Venezuela,0,2,1.585498366,1.672803353,1.059895833,1.488646384,1.016724434,1.044523332
11/09/2012,FIFA World Cup qualification,Peru,Argentina,1,1,0.677185083,2.968637216,0.745421245,1.659838104,1.907271792,0.494517947
11/09/2012,FIFA World Cup qualification,Uruguay,Ecuador,1,1,1.546491673,0.650244452,1.027940555,0.626512903,0.903346962,1.069997931
19/09/2012,Friendly,Brazil,Argentina,2,1,1.243103914,0.869809919,1.368364559,0.486332126,1.765340575,0.590321519
12/10/2012,FIFA World Cup qualification,Argentina,Uruguay,3,0,1.528041595,0.995454684,1.218159034,0.686382061,1.424492559,0.825487155
12/10/2012,FIFA World Cup qualification,Bolivia,Peru,1,1,1.220676892,1.926935373,0.985743088,1.83926438,1.255519958,0.662915573
12/10/2012,FIFA World Cup qualification,Colombia,Paraguay,2,0,0.901061516,0.567652306,0.805442177,0.588855295,0.904437465,0.765580596
12/10/2012,FIFA World Cup qualification,Ecuador,Chile,3,1,1.648197184,1.230604889,1.406581357,1.229819563,1.047979552,0.72795863
16/10/2012,FIFA World Cup qualification,Bolivia,Uruguay,4,1,1.236502294,2.667471147,0.985743088,1.83926438,1.81113277,0.564505013
16/10/2012,FIFA World Cup qualification,Chile,Argentina,1,2,1.072878871,2.236951934,1.180986888,1.250734862,1.789811475,0.573803662
16/10/2012,FIFA World Cup qualification,Paraguay,Peru,1,0,1.312502586,1.559604703,1.059895833,1.488646384,0.976551704,0.851219145
16/10/2012,FIFA World Cup qualification,Venezuela,Ecuador,0,0,1.098437649,1.128792332,0.730122655,1.087595532,1.099114157,0.937855074
14/11/2012,Friendly,Brazil,Colombia,1,1,1.637150454,0.772093604,1.368364559,0.486332126,1.500149372,0.826836735
21/11/2012,Friendly,Argentina,Brazil,2,1,0.558322891,1.668289731,1.218159034,0.686382061,2.364432687,0.312738095
22/03/2013,FIFA World Cup qualification,Argentina,Venezuela,3,0,1.822244316,0.771292783,1.218159034,0.686382061,0.923735016,1.107291189
22/03/2013,FIFA World Cup qualification,Colombia,Bolivia,5,0,1.656455424,0.432602026,0.805442177,0.588855295,0.459709459,1.533900376
22/03/2013,FIFA World Cup qualification,Peru,Chile,1,0,0.873466146,1.660898026,0.745421245,1.659838104,1.043085372,0.731262201
22/03/2013,FIFA World Cup qualification,Uruguay,Paraguay,1,1,1.14997414,0.603953971,1.027940555,0.626512903,0.791871328,0.841562739
26/03/2013,FIFA World Cup qualification,Bolivia,Argentina,1,1,0.895507767,3.289542921,0.985743088,1.83926438,2.01983793,0.418535804
26/03/2013,FIFA World Cup qualification,Chile,Uruguay,2,0,1.481413376,1.813931262,1.180986888,1.250734862,1.458751818,0.802362155
26/03/2013,FIFA World Cup qualification,Ecuador,Paraguay,4,1,1.573565882,1.18553729,1.406581357,1.229819563,0.806553867,0.831652024
26/03/2013,FIFA World Cup qualification,Venezuela,Colombia,1,0,0.873539605,1.72665039,0.730122655,1.087595532,1.720387467,0.67817602
06/04/2013,Friendly,Bolivia,Brazil,0,4,0.451798915,4.470434256,0.985743088,1.83926438,2.594459142,0.157470238
24/04/2013,Friendly,Brazil,Chile,2,2,1.603415687,0.486642683,1.368364559,0.486332126,0.945201774,0.79733363
07/06/2013,FIFA World Cup qualification,Argentina,Colombia,0,0,1.457440273,1.089689887,1.218159034,0.686382061,1.544196991,0.797104592
07/06/2013,FIFA World Cup qualification,Bolivia,Venezuela,1,1,1.47457326,2.066795481,0.985743088,1.83926438,1.19291491,0.925594761
07/06/2013,FIFA World Cup qualification,Paraguay,Chile,1,2,1.241959677,1.489596989,1.059895833,1.488646384,1.092027171,0.698226487
07/06/2013,FIFA World Cup qualification,Peru,Ecuador,1,0,1.12145371,1.72271076,0.745421245,1.659838104,1.104008337,0.934551502
11/06/2013,FIFA World Cup qualification,Chile,Bolivia,3,1,2.42879277,0.918851269,1.180986888,1.250734862,0.538016337,1.481043233
11/06/2013,FIFA World Cup qualification,Colombia,Peru,2,0,0.997404563,0.616923869,0.805442177,0.588855295,0.883562286,0.913987002
11/06/2013,FIFA World Cup qualification,Ecuador,Argentina,1,1,1.277822331,2.199544711,1.406581357,1.229819563,1.814282374,0.557285804
11/06/2013,FIFA World Cup qualification,Venezuela,Uruguay,0,1,0.915855611,1.577331532,0.730122655,1.087595532,1.546847056,0.74289787
26/06/2013,Confederations Cup,Brazil,Uruguay,2,1,1.716457298,0.705323785,1.368364559,0.486332126,1.424492559,0.825487155
14/08/2013,Friendly,Venezuela,Bolivia,2,2,1.501554882,0.799001104,0.730122655,1.087595532,0.626111575,1.421578947
06/09/2013,FIFA World Cup qualification,Chile,Venezuela,3,0,1.766638496,1.405460351,1.180986888,1.250734862,1.011830254,1.047826903
06/09/2013,FIFA World Cup qualification,Colombia,Ecuador,1,0,1.21175258,0.61116042,0.805442177,0.588855295,0.96207712,1.030355074
06/09/2013,FIFA World Cup qualification,Paraguay,Bolivia,4,0,2.179759457,1.093632761,1.059895833,1.488646384,0.650582475,1.40506109
06/09/2013,FIFA World Cup qualification,Peru,Uruguay,1,2,0.935045948,2.407250584,0.745421245,1.659838104,1.522376156,0.759415727
10/09/2013,FIFA World Cup qualification,Bolivia,Ecuador,1,1,1.483007426,1.908933485,0.985743088,1.83926438,1.221468655,0.855265788
10/09/2013,FIFA World Cup qualification,Paraguay,Argentina,2,5,0.962872541,2.662459095,1.059895833,1.488646384,1.951319411,0.464785804
10/09/2013,FIFA World Cup qualification,Uruguay,Colombia,2,0,1.22985745,0.994642508,1.027940555,0.626512903,1.59313879,0.764068878
10/09/2013,FIFA World Cup qualification,Venezuela,Peru,3,2,0.904134013,1.139437226,0.730122655,1.087595532,1.049964403,0.801665573
11/10/2013,FIFA World Cup qualification,Argentina,Peru,3,1,1.508484921,0.719099378,1.218159034,0.686382061,0.873773926,0.920594145
11/10/2013,FIFA World Cup qualification,Colombia,Chile,3,3,0.943797187,0.58923132,0.805442177,0.588855295,0.901154155,0.827065773
11/10/2013,FIFA World Cup qualification,Ecuador,Uruguay,1,0,1.764395913,1.783597963,1.406581357,1.229819563,1.434280918,0.818880013
11/10/2013,FIFA World Cup qualification,Venezuela,Paraguay,1,1,0.816800318,1.048434338,0.730122655,1.087595532,0.919120005,0.755669882
15/10/2013,FIFA World Cup qualification,Chile,Ecuador,2,1,1.776743196,1.298111182,1.180986888,1.250734862,1.040383999,0.977497931
15/10/2013,FIFA World Cup qualification,Paraguay,Colombia,1,2,1.268089658,2.363352721,1.059895833,1.488646384,1.744858367,0.661658163
15/10/2013,FIFA World Cup qualification,Peru,Bolivia,1,1,1.53301764,1.219398607,0.745421245,1.659838104,0.601640676,1.438096805
15/10/2013,FIFA World Cup qualification,Uruguay,Argentina,3,2,0.933842462,1.120524655,1.027940555,0.626512903,1.799599834,0.567196519
15/11/2013,Friendly,Argentina,Ecuador,0,0,1.832667067,0.712381381,1.218159034,0.686382061,0.952288761,1.036962217
19/11/2013,Friendly,Brazil,Chile,2,1,1.603415687,0.486642683,1.368364559,0.486332126,0.945201774,0.79733363
28/06/2014,FIFA World Cup,Brazil,Chile,1,1,1.603415687,0.486642683,1.368364559,0.486332126,0.945201774,0.79733363
28/06/2014,FIFA World Cup,Colombia,Uruguay,2,0,1.010335362,0.854012358,0.805442177,0.588855295,1.404915839,0.838701441
04/07/2014,FIFA World Cup,Brazil,Colombia,2,1,1.637150454,0.772093604,1.368364559,0.486332126,1.56866789,0.780586735
11/10/2014,Friendly,Argentina,Brazil,0,2,0.558322891,1.668289731,1.218159034,0.686382061,2.359538507,0.316041667
14/11/2014,Friendly,Paraguay,Peru,2,1,1.312502586,1.559604703,1.059895833,1.488646384,1.074435302,0.785147716
18/11/2014,Friendly,Bolivia,Venezuela,3,2,1.47457326,2.066795481,0.985743088,1.83926438,1.222279989,0.905773332
18/11/2014,Friendly,Chile,Uruguay,1,2,1.481413376,1.813931262,1.180986888,1.250734862,1.453857638,0.805665727
18/11/2014,Friendly,Peru,Paraguay,2,1,0.833915105,1.600072098,0.745421245,1.659838104,0.894649105,0.772187739
29/03/2015,Friendly,Brazil,Chile,1,0,1.603415687,0.486642683,1.368364559,0.486332126,0.950095954,0.794030058
31/03/2015,Friendly,Peru,Venezuela,0,1,1.115075774,1.8651728,0.745421245,1.659838104,1.031406974,1.034612618
11/06/2015,Copa América,Chile,Ecuador,2,0,1.776743196,1.298111182,1.180986888,1.250734862,0.932712041,1.050176502
13/06/2015,Copa América,Argentina,Paraguay,2,2,1.362774705,0.661667412,1.218159034,0.686382061,0.625469211,0.953884167
14/06/2015,Copa América,Brazil,Peru,2,1,1.694489181,0.509513796,1.368364559,0.486332126,0.785678688,0.98005843
14/06/2015,Copa América,Colombia,Venezuela,0,1,1.204861096,0.661701209,0.805442177,0.588855295,0.781803799,1.203094761
15/06/2015,Copa América,Ecuador,Bolivia,2,3,2.892745607,0.903485863,1.406581357,1.229819563,0.474391999,1.523989662
16/06/2015,Copa América,Argentina,Uruguay,1,0,1.528041595,0.995454684,1.218159034,0.686382061,1.37065658,0.861826441
