Date,Home,Away,H_rank,A_rank,Rank_diff,Rank_value,Home_GF,Home_GA,Away_GF,Away_GA,H_attack,A_defence,H_defence,A_attack
7/10/21,Paraguay,Argentina,35,8,27,0.135,1.469166667,1.655833333,1.923510101,0.773459596,0.970699405,0.511035804,1.620789242,1.882800893
7/10/21,Uruguay,Colombia,9,15,-6,-0.03,1.585801922,0.610059128,1.557585034,1.226428571,1.047761984,0.810318878,0.597147824,1.524620271
7/10/21,Ecuador,Bolivia,54,80,-26,-0.13,2.258879892,1.126410256,0.604649123,2.186578947,1.492474214,1.444703947,1.102570886,0.591852316
7/10/21,Peru,Chile,26,18,8,0.04,1.088205128,1.735726496,1.04063857,1.131775223,0.718992674,0.747780058,1.698991543,1.018614473
7/10/21,Venezuela,Brazil,29,3,26,0.13,0.975050505,1.241111111,2.560555556,0.328333333,0.644229798,0.216934524,1.214844209,2.506363904
10/10/21,Colombia,Brazil,15,3,12,0.06,1.159047619,0.661587302,2.490555556,0.398333333,0.76579932,0.263184524,0.647585454,2.437845385
10/10/21,Venezuela,Ecuador,29,54,-25,-0.125,1.230050505,0.986111111,0.912878788,1.629456328,0.812711941,1.076605074,0.965241035,0.893558602
10/10/21,Bolivia,Peru,80,26,54,0.27,1.221935484,2.149032258,1.317666336,0.968331678,0.80735023,0.639790573,2.103550094,1.289779217
10/10/21,Argentina,Uruguay,8,9,-1,-0.005,1.848700159,0.696222754,1.445292398,1.259385965,1.221462605,0.832094298,0.681487881,1.414704199
10/10/21,Chile,Paraguay,18,35,-17,-0.085,1.872439614,1.192777778,0.87899287,1.203716578,1.237147602,0.795312739,1.167533804,0.860389846
12/10/21,Brazil,Uruguay,3,9,-6,-0.03,2.101038251,0.466847415,1.420292398,1.284385965,1.388185988,0.848612155,0.456967046,1.390233299
12/10/21,Bolivia,Paraguay,80,35,45,0.225,1.266935484,2.104032258,1.18899287,0.893716578,0.837082373,0.59049131,2.059502475,1.163829
12/10/21,Argentina,Peru,8,26,-18,-0.09,1.933700159,0.611222754,0.957666336,1.328331678,1.27762332,0.877647716,0.598286823,0.937398265
12/10/21,Chile,Venezuela,18,29,-11,-0.055,1.842439614,1.222777778,1.068707665,1.550900178,1.217326173,1.024701903,1.196898883,1.046089513
12/10/21,Colombia,Ecuador,15,54,-39,-0.195,1.414047619,0.406587302,0.842878788,1.699456328,0.934281463,1.122855074,0.397982279,0.825040083
11/11/21,Ecuador,Venezuela,54,29,25,0.125,2.003879892,1.381410256,1.248707665,1.370900178,1.323992072,0.905773332,1.352174061,1.222279989
11/11/21,Brazil,Colombia,3,15,-12,-0.06,2.131038251,0.436847415,1.527585034,1.256428571,1.408007416,0.830140306,0.427601967,1.495255192
11/11/21,Paraguay,Chile,35,18,17,0.085,1.519166667,1.605833333,1.08563857,1.086775223,1.003735119,0.718047916,1.571847443,1.062662092
11/11/21,Uruguay,Argentina,9,8,1,0.005,1.550801922,0.645059128,1.793510101,0.903459596,1.024636984,0.596928662,0.631407083,1.755552215
11/11/21,Peru,Bolivia,26,80,-54,-0.27,1.398205128,1.425726496,0.464649123,2.326578947,0.923814103,1.537203947,1.39555239,0.454815279
16/11/21,Argentina,Brazil,8,3,5,0.025,1.818700159,0.726222754,2.455555556,0.433333333,1.201641177,0.286309524,0.71085296,2.403586126
16/11/21,Bolivia,Uruguay,80,9,71,0.355,1.136935484,2.234032258,1.805292398,0.899385965,0.751189516,0.594237155,2.186751152,1.767085151
16/11/21,Colombia,Paraguay,15,35,-20,-0.1,1.319047619,0.501587302,0.86399287,1.218716578,0.871513605,0.805223453,0.490971697,0.845707306
16/11/21,Venezuela,Peru,29,26,3,0.015,1.090050505,1.126111111,1.062666336,1.223331678,0.720211941,0.808272716,1.102278072,1.040176043
16/11/21,Chile,Ecuador,18,54,-36,-0.18,1.967439614,1.097777778,0.857878788,1.684456328,1.299915459,1.11294436,1.074544386,0.839722623
27/1/22,Colombia,Peru,15,26,-11,-0.055,1.274047619,0.546587302,0.992666336,1.293331678,0.841781463,0.854522716,0.535019316,0.971657524
27/1/22,Paraguay,Uruguay,35,9,26,0.13,1.474166667,1.650833333,1.580292398,1.124385965,0.974002976,0.74289787,1.615895062,1.546847056
27/1/22,Chile,Argentina,18,8,10,0.05,1.737439614,1.327777778,1.838510101,0.858459596,1.147951173,0.567196519,1.299676661,1.799599834
27/1/22,Venezuela,Bolivia,29,80,-51,-0.255,1.360050505,0.856111111,0.479649123,2.311578947,0.898604798,1.527293233,0.837992357,0.469497819
27/1/22,Ecuador,Brazil,54,3,51,0.255,1.873879892,1.511410256,2.685555556,0.203333333,1.238099214,0.134345238,1.479422738,2.628718401
1/2/22,Peru,Ecuador,26,54,-28,-0.14,1.268205128,1.555726496,0.897878788,1.644456328,0.837921245,1.086515788,1.522801067,0.878876062
1/2/22,Uruguay,Venezuela,9,29,-20,-0.1,1.655801922,0.540059128,1.023707665,1.595900178,1.094011984,1.054434046,0.528629305,1.002041894
1/2/22,Bolivia,Chile,80,18,62,0.31,1.181935484,2.189032258,1.31063857,0.861775223,0.780921659,0.569387201,2.142703533,1.282900187
1/2/22,Argentina,Colombia,8,15,-7,-0.035,1.878700159,0.666222754,1.552585034,1.231428571,1.241284034,0.813622449,0.652122801,1.519726091
1/2/22,Brazil,Paraguay,3,35,-32,-0.16,2.231038251,0.336847415,0.80399287,1.278716578,1.474078845,0.84486631,0.329718369,0.786977148
24/3/22,Uruguay,Peru,9,26,-17,-0.085,1.640801922,0.555059128,0.962666336,1.323331678,1.08410127,0.874344145,0.543311845,0.942292445
24/3/22,Brazil,Chile,3,18,-15,-0.075,2.146038251,0.421847415,0.92563857,1.246775223,1.41791813,0.823762201,0.412919427,0.906048335
24/3/22,Argentina,Venezuela,8,29,-21,-0.105,1.948700159,0.596222754,1.018707665,1.600900178,1.287534034,1.057737618,0.583604283,0.997147714
24/3/22,Colombia,Bolivia,15,80,-65,-0.325,1.544047619,0.276587302,0.409649123,2.381578947,1.02017432,1.573543233,0.270733602,0.4009793
24/3/22,Paraguay,Ecuador,35,54,-19,-0.095,1.699166667,1.425833333,0.942878788,1.599456328,1.12266369,1.056783645,1.395656966,0.922923681
29/3/22,Venezuela,Colombia,29,15,14,0.07,1.035050505,1.181111111,1.657585034,1.126428571,0.683872655,0.744247449,1.156114051,1.622503869
29/3/22,Bolivia,Brazil,80,3,77,0.385,1.106935484,2.264032258,2.815555556,0.073333333,0.731368088,0.048452381,2.216116231,2.755967078
29/3/22,Chile,Uruguay,18,9,9,0.045,1.742439614,1.322777778,1.495292398,1.209385965,1.151254745,0.799058584,1.294782481,1.463645998
29/3/22,Peru,Paraguay,26,35,-9,-0.045,1.173205128,1.650726496,0.91899287,1.163716578,0.775153388,0.768884167,1.615790485,0.899543285
29/3/22,Ecuador,Argentina,54,8,46,0.23,1.898879892,1.486410256,2.018510101,0.678459596,1.254617072,0.448267947,1.454951838,1.975790311
