Date,Home,Away,Poisson_H_xG,Poisson_A_xG,Results,H_Points,A_Points,,,Home,H_p,A_p,Total_P,CurrentP,FinalP
7/10/21,Paraguay,Argentina,0,1,A_WIN,0,3,,,Brazil,12,13,25,24,49
7/10/21,Uruguay,Colombia,1,0,H_WIN,3,0,,,Uruguay,10,8,18,15,33
7/10/21,Ecuador,Bolivia,2,1,H_WIN,3,0,,,Argentina,5,9,14,18,32
7/10/21,Peru,Chile,1,0,H_WIN,3,0,,,Ecuador,4,6,10,13,23
7/10/21,Venezuela,Brazil,0,2,A_WIN,0,3,,,Peru,10,4,14,8,22
10/10/21,Colombia,Brazil,0,1,A_WIN,0,3,,,Colombia,8,1,9,13,22
10/10/21,Venezuela,Ecuador,2,2,DRAW,1,1,,,Paraguay,4,4,8,11,19
10/10/21,Bolivia,Peru,0,2,A_WIN,0,3,,,Chile,7,4,11,7,18
10/10/21,Argentina,Uruguay,0,0,DRAW,1,1,,,Venezuela,10,3,13,4,17
10/10/21,Chile,Paraguay,1,0,H_WIN,3,0,,,Bolivia,0,0,0,6,6
12/10/21,Brazil,Uruguay,2,1,H_WIN,3,0,,,,,,,,
12/10/21,Bolivia,Paraguay,0,3,A_WIN,0,3,,,,,,,,
12/10/21,Argentina,Peru,0,0,DRAW,1,1,,,,,,,,
12/10/21,Chile,Venezuela,1,0,H_WIN,3,0,,,,,,,,
12/10/21,Colombia,Ecuador,2,2,DRAW,1,1,,,,,,,,
11/11/21,Ecuador,Venezuela,0,0,DRAW,1,1,,,,,,,,
11/11/21,Brazil,Colombia,3,2,H_WIN,3,0,,,,,,,,
11/11/21,Paraguay,Chile,0,0,DRAW,1,1,,,,,,,,
11/11/21,Uruguay,Argentina,1,0,H_WIN,3,0,,,,,,,,
11/11/21,Peru,Bolivia,2,1,H_WIN,3,0,,,,,,,,
16/11/21,Argentina,Brazil,0,0,DRAW,1,1,,,,,,,,
16/11/21,Bolivia,Uruguay,0,1,A_WIN,0,3,,,,,,,,
16/11/21,Colombia,Paraguay,1,1,DRAW,1,1,,,,,,,,
16/11/21,Venezuela,Peru,2,0,H_WIN,3,0,,,,,,,,
16/11/21,Chile,Ecuador,0,1,A_WIN,0,3,,,,,,,,
27/1/22,Colombia,Peru,3,1,H_WIN,3,0,,,,,,,,
27/1/22,Paraguay,Uruguay,0,1,A_WIN,0,3,,,,,,,,
27/1/22,Chile,Argentina,0,1,A_WIN,0,3,,,,,,,,
27/1/22,Venezuela,Bolivia,3,1,H_WIN,3,0,,,,,,,,
27/1/22,Ecuador,Brazil,0,2,A_WIN,0,3,,,,,,,,
1/2/22,Peru,Ecuador,1,1,DRAW,1,1,,,,,,,,
1/2/22,Uruguay,Venezuela,0,0,DRAW,1,1,,,,,,,,
1/2/22,Bolivia,Chile,0,2,A_WIN,0,3,,,,,,,,
1/2/22,Argentina,Colombia,0,0,DRAW,1,1,,,,,,,,
1/2/22,Brazil,Paraguay,3,0,H_WIN,3,0,,,,,,,,
24/3/22,Uruguay,Peru,2,1,H_WIN,3,0,,,,,,,,
24/3/22,Brazil,Chile,2,0,H_WIN,3,0,,,,,,,,
24/3/22,Argentina,Venezuela,0,0,DRAW,1,1,,,,,,,,
24/3/22,Colombia,Bolivia,2,1,H_WIN,3,0,,,,,,,,
24/3/22,Paraguay,Ecuador,3,1,H_WIN,3,0,,,,,,,,
29/3/22,Venezuela,Colombia,2,1,H_WIN,3,0,,,,,,,,
29/3/22,Bolivia,Brazil,0,1,A_WIN,0,3,,,,,,,,
29/3/22,Chile,Uruguay,1,1,DRAW,1,1,,,,,,,,
29/3/22,Peru,Paraguay,1,0,H_WIN,3,0,,,,,,,,
29/3/22,Ecuador,Argentina,0,1,A_WIN,0,3,,,,,,,,
