date,home_team,away_team,home_score,away_score,H_rank,A_rank,Rank_diff,Rank_value,H_xG,A_xG,H_attack,H_defence,A_attack,A_defence
8/11/2010,Austria,Switzerland,0,1,23,13,10,0.05,1.285577066,0.7198692015,0.962694576,0.983937305,0.6305120881,0.8717072744
8/11/2010,Cyprus,Andorra,1,0,97,158,-61,-0.305,1.354969572,1.03826792,0.8999782651,0.9567592688,0.9352204785,0.9827851834
8/11/2010,Czech Republic,Latvia,4,1,40,138,-98,-0.49,2.580431202,0.4448561959,1.015197534,0.6439053593,0.5953945495,1.659215551
8/11/2010,Denmark,Germany,2,2,10,12,-2,-0.01,2.275611402,0.6208711746,0.9196940347,1.186983294,0.450779483,1.615160966
8/11/2010,England,Hungary,2,1,4,37,-33,-0.165,1.710809745,0.7445547695,0.773018693,0.9751964454,0.6579786335,1.444683785
8/11/2010,Estonia,Faroe Islands,2,1,116,113,3,0.015,1.860003147,1.110757055,0.9779207017,0.9193365539,1.0412423,1.241569736
8/11/2010,Finland,Belgium,1,0,54,1,53,0.265,2.009361026,0.9861572821,0.9625900775,1.16485259,0.729596038,1.362629142
8/11/2010,Iceland,Liechtenstein,1,1,52,186,-134,-0.67,1.9299346,0.4974078432,1.084512069,0.9140319044,0.4689845379,1.16163391
8/11/2010,Lithuania,Belarus,0,2,134,89,45,0.225,2.313901439,0.9304261976,1.199401,0.9851161975,0.8139574843,1.259335739
8/11/2010,Malta,North Macedonia,1,1,175,62,113,0.565,1.608241204,1.174603701,0.6151114557,1.625085112,0.6229059853,1.706704951
8/11/2010,Moldova,Georgia,0,0,177,91,86,0.43,2.215411216,0.6603801639,1.064742587,0.9441514319,0.6027810827,1.358222135
8/11/2010,Montenegro,Northern Ireland,2,0,64,48,16,0.08,3.456183139,0.6418992906,1.427937308,0.6386564761,0.866177356,1.579969435
8/11/2010,Norway,France,2,1,42,2,40,0.2,1.450584668,0.9001850397,0.775413229,1.005435095,0.7715871769,1.22115546
8/11/2010,Russia,Bulgaria,1,0,38,71,-33,-0.165,2.624314557,0.9412639379,1.233798463,0.8284500583,0.9791570111,1.388457988
8/11/2010,Serbia,Greece,0,1,25,51,-26,-0.13,2.472084167,0.4546226853,1.261351198,0.6378775844,0.6142158405,1.279346861
8/11/2010,Slovakia,Croatia,1,1,36,14,22,0.11,2.460605072,0.9121375202,0.9679458923,0.9672856811,0.812667351,1.65940316
8/11/2010,Sweden,Scotland,3,0,18,44,-26,-0.13,2.194347571,0.5976626491,1.120275453,0.8748117984,0.5887741505,1.278620541
8/11/2010,Turkey,Romania,2,0,29,43,-14,-0.07,2.33424321,0.65815669,1.178714628,0.7577715292,0.7485111374,1.292702265
8/11/2010,Ukraine,Netherlands,1,1,24,16,8,0.04,2.5299507,0.5526797351,1.102031616,0.7756213589,0.6140885946,1.49857707
8/11/2010,Wales,Luxembourg,5,1,17,96,-79,-0.395,3.062600407,1.064108769,1.275871257,1.221538352,0.7507341393,1.566911836
9/2/2010,Israel,Malta,3,1,85,175,-90,-0.45,2.485867244,0.8731514088,1.155301659,0.9849160113,0.7640074827,1.40457073
9/3/2010,Andorra,Russia,0,2,158,38,120,0.6,1.597180431,0.7701086005,0.7978316387,0.9314790788,0.7125020516,1.306783989
9/3/2010,Armenia,Republic of Ireland,0,1,90,47,43,0.215,1.482820053,0.8388994518,0.8676542142,1.204637329,0.6001514287,1.115585469
9/3/2010,Belgium,Germany,0,1,1,12,-11,-0.055,2.230065284,0.4505221888,0.9012864573,0.861309614,0.450779483,1.615160966
9/3/2010,England,Bulgaria,4,0,4,71,-67,-0.335,1.644226565,1.10799346,0.773018693,0.9751964454,0.9791570111,1.388457988
9/3/2010,Estonia,Italy,1,2,116,7,109,0.545,1.7472761,0.8342649663,0.9779207017,0.9193365539,0.7820539764,1.166323364
